Timestamp,Violation Type,Number Plate,Image Path
2025-02-09 15:42:43,helmet_violation,mages,20250209_154243_helmet_violation_mages.jpg
2025-02-09 15:42:50,helmet_violation,Images,20250209_154250_helmet_violation_Images.jpg
2025-02-09 15:43:22,helmet_violation,by,20250209_154322_helmet_violation_by.jpg
2025-02-09 15:43:24,helmet_violation,by Gett,20250209_154324_helmet_violation_by Gett.jpg
2025-02-09 15:43:28,helmet_violation,by Ger,20250209_154328_helmet_violation_by Ger.jpg
2025-02-09 15:46:20,helmet_violation,mages,20250209_154620_helmet_violation_mages.jpg
2025-02-09 15:46:40,helmet_violation,by Gett,20250209_154640_helmet_violation_by Gett.jpg
2025-02-09 15:46:42,helmet_violation,by Ger,20250209_154642_helmet_violation_by Ger.jpg
2025-02-09 15:46:45,helmet_violation,by,20250209_154645_helmet_violation_by.jpg
2025-02-09 15:47:34,helmet_violation,Tby,20250209_154734_helmet_violation_Tby.jpg
2025-02-09 16:18:57,helmet_violation,Hero,20250209_161857_helmet_violation_Hero.jpg
2025-02-09 16:19:25,helmet_violation,a1a,20250209_161925_helmet_violation_a1a.jpg
2025-02-09 16:19:31,helmet_violation,Srerao,20250209_161931_helmet_violation_Srerao.jpg
2025-02-09 16:19:36,helmet_violation,ChiT,20250209_161936_helmet_violation_ChiT.jpg
2025-02-09 16:19:40,helmet_violation,edra,20250209_161940_helmet_violation_edra.jpg
2025-02-09 16:19:43,helmet_violation,alal,20250209_161943_helmet_violation_alal.jpg
2025-02-09 16:19:46,helmet_violation,aa,20250209_161946_helmet_violation_aa.jpg
2025-02-09 16:19:49,helmet_violation,aT,20250209_161949_helmet_violation_aT.jpg
2025-02-09 16:19:53,helmet_violation,aRa,20250209_161953_helmet_violation_aRa.jpg
2025-02-09 16:19:57,helmet_violation,ejra,20250209_161957_helmet_violation_ejra.jpg
2025-02-09 16:20:01,helmet_violation,aIl,20250209_162001_helmet_violation_aIl.jpg
2025-02-09 16:20:04,helmet_violation,He,20250209_162004_helmet_violation_He.jpg
2025-02-09 16:20:05,helmet_violation,chict_erra,20250209_162005_helmet_violation_chict_erra.jpg
2025-02-09 16:20:10,helmet_violation,dlch,20250209_162010_helmet_violation_dlch.jpg
2025-02-09 16:20:15,helmet_violation,chic,20250209_162015_helmet_violation_chic.jpg
2025-02-09 16:20:21,helmet_violation,chlct,20250209_162021_helmet_violation_chlct.jpg
2025-02-09 16:20:27,helmet_violation,ara,20250209_162027_helmet_violation_ara.jpg
2025-02-09 16:20:30,helmet_violation,Khero,20250209_162030_helmet_violation_Khero.jpg
2025-02-09 16:20:31,helmet_violation,ala,20250209_162031_helmet_violation_ala.jpg
2025-02-09 16:20:34,helmet_violation,WP,20250209_162034_helmet_violation_WP.jpg
2025-02-09 16:20:38,helmet_violation,UPEDD 0212,20250209_162038_helmet_violation_UPEDD 0212.jpg
2025-02-09 16:20:39,helmet_violation,ale,20250209_162039_helmet_violation_ale.jpg
2025-02-09 16:20:41,helmet_violation,R ESD 0277,20250209_162041_helmet_violation_R ESD 0277.jpg
2025-02-09 16:20:42,helmet_violation,aal,20250209_162042_helmet_violation_aal.jpg
2025-02-09 16:20:44,helmet_violation,LRSS 0227,20250209_162044_helmet_violation_LRSS 0227.jpg
2025-02-09 16:20:47,helmet_violation,UPGS 0227,20250209_162047_helmet_violation_UPGS 0227.jpg
2025-02-09 16:20:48,helmet_violation,ra,20250209_162048_helmet_violation_ra.jpg
2025-02-09 16:20:50,helmet_violation,o,20250209_162050_helmet_violation_o.jpg
2025-02-09 16:20:53,helmet_violation,NR 651 0232,20250209_162053_helmet_violation_NR 651 0232.jpg
2025-02-09 16:20:54,helmet_violation,ald,20250209_162054_helmet_violation_ald.jpg
2025-02-09 16:20:56,helmet_violation,alel,20250209_162056_helmet_violation_alel.jpg
2025-02-09 16:20:56,helmet_violation,IRG5 032,20250209_162056_helmet_violation_IRG5 032.jpg
2025-02-09 16:20:59,helmet_violation,IR65 027,20250209_162059_helmet_violation_IR65 027.jpg
2025-02-09 16:21:00,helmet_violation,pra,20250209_162100_helmet_violation_pra.jpg
2025-02-09 16:21:01,helmet_violation,NPL65[0.023,20250209_162101_helmet_violation_NPL65[0.023.jpg
2025-02-09 16:21:03,helmet_violation,deit,20250209_162103_helmet_violation_deit.jpg
2025-02-09 16:21:05,helmet_violation,Jra,20250209_162105_helmet_violation_Jra.jpg
2025-02-09 16:21:08,helmet_violation,Ouc,20250209_162108_helmet_violation_Ouc.jpg
2025-02-09 16:21:10,helmet_violation,Qucy,20250209_162110_helmet_violation_Qucy.jpg
2025-02-09 16:21:11,helmet_violation,dlleul,20250209_162111_helmet_violation_dlleul.jpg
2025-02-09 16:21:13,helmet_violation,ahld,20250209_162113_helmet_violation_ahld.jpg
2025-02-09 16:21:15,helmet_violation,Glct,20250209_162115_helmet_violation_Glct.jpg
2025-02-09 16:21:17,helmet_violation,chld,20250209_162117_helmet_violation_chld.jpg
2025-02-09 16:21:19,helmet_violation,JRQ,20250209_162119_helmet_violation_JRQ.jpg
2025-02-09 16:21:20,helmet_violation,"""ra","20250209_162120_helmet_violation_""ra.jpg"
2025-02-09 16:21:26,helmet_violation,DRa,20250209_162126_helmet_violation_DRa.jpg
2025-02-09 16:21:28,helmet_violation,Ura,20250209_162128_helmet_violation_Ura.jpg
2025-02-09 16:21:28,helmet_violation,No,20250209_162128_helmet_violation_No.jpg
2025-02-09 16:21:30,helmet_violation,a1,20250209_162130_helmet_violation_a1.jpg
2025-02-09 16:21:32,helmet_violation,etl,20250209_162132_helmet_violation_etl.jpg
2025-02-09 16:21:34,helmet_violation,"""Ra","20250209_162134_helmet_violation_""Ra.jpg"
